contentId,recommendedContentId,predicted_eventType
8890720798209849691,-3870325027932266414,1.9066956128976704
8890720798209849691,-6347212504547574224,1.8114444703362829
8890720798209849691,-3351652027149912881,1.7816593482787622
8890720798209849691,8215778202715904841,1.7161462852015394
8890720798209849691,-5198756378866433953,1.6996169812332025
310515487419366995,-3870325027932266414,1.9066956128976704
310515487419366995,-6347212504547574224,1.8114444703362829
310515487419366995,-3351652027149912881,1.7816593482787622
310515487419366995,8215778202715904841,1.7161462852015394
310515487419366995,-5198756378866433953,1.6996169812332025
-1492913151930215984,-3870325027932266414,1.9066956128976704
-1492913151930215984,-6347212504547574224,1.8114444703362829
-1492913151930215984,-3351652027149912881,1.7816593482787622
-1492913151930215984,8215778202715904841,1.7161462852015394
-1492913151930215984,-5198756378866433953,1.6996169812332025
3064370296170038610,-3870325027932266414,1.9066956128976704
3064370296170038610,-6347212504547574224,1.8114444703362829
3064370296170038610,-3351652027149912881,1.7816593482787622
3064370296170038610,8215778202715904841,1.7161462852015394
3064370296170038610,-5198756378866433953,1.6996169812332025
2372438485070148864,-3870325027932266414,1.9066956128976704
2372438485070148864,-6347212504547574224,1.8114444703362829
2372438485070148864,-3351652027149912881,1.7816593482787622
2372438485070148864,8215778202715904841,1.7161462852015394
2372438485070148864,-5198756378866433953,1.6996169812332025
-348408475077850711,-3870325027932266414,1.9066956128976704
-348408475077850711,-6347212504547574224,1.8114444703362829
-348408475077850711,-3351652027149912881,1.7816593482787622
-348408475077850711,8215778202715904841,1.7161462852015394
-348408475077850711,-5198756378866433953,1.6996169812332025
372531153711028286,-3870325027932266414,1.9066956128976704
372531153711028286,-6347212504547574224,1.8114444703362829
372531153711028286,-3351652027149912881,1.7816593482787622
372531153711028286,8215778202715904841,1.7161462852015394
372531153711028286,-5198756378866433953,1.6996169812332025
6521856301289868251,-3870325027932266414,1.9066956128976704
6521856301289868251,-6347212504547574224,1.8114444703362829
6521856301289868251,-3351652027149912881,1.7816593482787622
6521856301289868251,8215778202715904841,1.7161462852015394
6521856301289868251,-5198756378866433953,1.6996169812332025
-8142426490949346803,-3870325027932266414,1.9066956128976704
-8142426490949346803,-6347212504547574224,1.8114444703362829
-8142426490949346803,-3351652027149912881,1.7816593482787622
-8142426490949346803,8215778202715904841,1.7161462852015394
-8142426490949346803,-5198756378866433953,1.6996169812332025
